Semiconductor | 66 | 1.52 | 10.72% | 97.47% | 55.83% | 5.29% | 5.11% | 3.97% | 2.53% | 10.55%
Semiconductor Equip | 31 | 1.40 | 10.18% | 95.36% | 50.08% | 5.29% | 9.96% | 3.97% | 4.64% | 9.89%
Software (Entertainment) | 77 | 1.03 | 8.54% | 98.00% | 57.06% | 5.29% | 5.29% | 3.97% | 2.00% | 8.44%
Software (Internet) | 29 | 1.69 | 11.48% | 89.05% | 52.61% | 5.29% | 3.05% | 3.97% | 10.95% | 10.66%
Software (System & Application) | 309 | 1.28 | 9.64% | 94.72% | 56.79% | 5.29% | 5.51% | 3.97% | 5.28% | 9.34%
Steel | 19 | 1.06 | 8.69% | 80.96% | 38.51% | 5.07% | 9.28% | 3.80% | 19.04% | 7.76%
Telecom (Wireless) | 12 | 0.54 | 6.35% | 65.81% | 40.18% | 5.07% | 4.02% | 3.80% | 34.19% | 5.48%
Telecom. Equipment | 57 | 0.92 | 8.07% | 91.56% | 55.26% | 5.29% | 7.06% | 3.97% | 8.44% | 7.72%
Telecom. Services | 39 | 0.63 | 6.75% | 51.00% | 60.29% | 5.29% | 3.40% | 3.97% | 49.00% | 5.39%
Tobacco | 10 | 0.79 | 7.49% | 81.32% | 65.96% | 6.02% | 14.77% | 4.51% | 18.68% | 6.94%
Utility (General) | 14 | 0.24 | 5.02% | 55.10% | 14.96% | 4.73% | 12.77% | 3.55% | 44.90% | 4.36%
Utility (Water) | 14 | 0.41 | 5.79% | 61.59% | 29.60% | 4.73% | 11.19% | 3.55% | 38.41% | 4.93%
Total Market | 5994 | 0.91 | 8.02% | 73.98% | 48.07% | 5.29% | 8.30% | 3.97% | 26.02% | 6.96%
